,UF,Tem Celular,Tem Rádio,Tem Televisão em Cores,RM domiciliar per capita,Regiao
1,11,Sim,Não,Sim,800.0,Norte
3,11,Sim,Não,Não,1150.0,Norte
4,11,Sim,Sim,Sim,793.0,Norte
5,11,Sim,Sim,Não,2900.0,Norte
6,11,Não,Sim,Sim,1990.0,Norte
7,11,Sim,Sim,Sim,350.0,Norte
8,11,Sim,Sim,Sim,1333.0,Norte
9,11,Sim,Não,Sim,818.0,Norte
11,11,Sim,Não,Sim,1716.0,Norte
12,11,Sim,Sim,Sim,2500.0,Norte
14,11,Sim,Não,Sim,1400.0,Norte
16,11,Sim,Não,Sim,666.0,Norte
17,11,Sim,Sim,Sim,788.0,Norte
18,11,Sim,Não,Sim,750.0,Norte
19,11,Sim,Sim,Sim,1437.0,Norte
20,11,Sim,Sim,Sim,600.0,Norte
21,11,Sim,Sim,Sim,933.0,Norte
22,11,Sim,Não,Sim,1087.0,Norte
24,11,Sim,Não,Sim,2666.0,Norte
27,11,Sim,Não,Sim,700.0,Norte
28,11,Sim,Sim,Sim,3325.0,Norte
29,11,Sim,Sim,Sim,3500.0,Norte
30,11,Sim,Não,Sim,1172.0,Norte
31,11,Não,Não,Sim,1909.0,Norte
32,11,Sim,Sim,Sim,3000.0,Norte
33,11,Sim,Não,Sim,366.0,Norte
34,11,Sim,Não,Sim,175.0,Norte
36,11,Sim,Sim,Sim,262.0,Norte
37,11,Sim,Não,Sim,36.0,Norte
38,11,Sim,Não,Sim,596.0,Norte
40,11,Sim,Não,Sim,196.0,Norte
41,11,Sim,Não,Sim,788.0,Norte
42,11,Sim,Não,Sim,394.0,Norte
43,11,Sim,Não,Sim,975.0,Norte
44,11,Sim,Sim,Sim,850.0,Norte
45,11,Sim,Não,Sim,2000.0,Norte
46,11,Sim,Não,Sim,480.0,Norte
47,11,Sim,Não,Sim,1262.0,Norte
48,11,Sim,Não,Sim,525.0,Norte
49,11,Sim,Não,Sim,530.0,Norte
50,11,Sim,Não,Sim,650.0,Norte
51,11,Sim,Sim,Sim,666.0,Norte
52,11,Sim,Não,Sim,2700.0,Norte
53,11,Sim,Não,Sim,835.0,Norte
55,11,Sim,Sim,Sim,2100.0,Norte
56,11,Sim,Sim,Sim,579.0,Norte
59,11,Sim,Sim,Sim,1000.0,Norte
61,11,Sim,Sim,Sim,300.0,Norte
62,11,Sim,Sim,Sim,225.0,Norte
63,11,Sim,Sim,Sim,900.0,Norte
64,11,Sim,Sim,Sim,394.0,Norte
65,11,Sim,Sim,Sim,362.0,Norte
66,11,Sim,Sim,Sim,312.0,Norte
67,11,Sim,Sim,Sim,635.0,Norte
68,11,Sim,Sim,Sim,425.0,Norte
69,11,Sim,Sim,Sim,394.0,Norte
71,11,Não,Não,Sim,250.0,Norte
72,11,Sim,Não,Sim,550.0,Norte
73,11,Sim,Não,Não,590.0,Norte
74,11,Sim,Não,Sim,2800.0,Norte
75,11,Sim,Não,Sim,625.0,Norte
76,11,Sim,Sim,Não,1260.0,Norte
77,11,Sim,Sim,Sim,1500.0,Norte
78,11,Sim,Sim,Sim,837.0,Norte
79,11,Sim,Não,Sim,675.0,Norte
80,11,Sim,Não,Sim,1766.0,Norte
81,11,Sim,Não,Sim,2900.0,Norte
83,11,Sim,Não,Sim,1500.0,Norte
84,11,Sim,Não,Não,863.0,Norte
86,11,Sim,Sim,Sim,617.0,Norte
87,11,Sim,Sim,Sim,750.0,Norte
88,11,Sim,Não,Sim,184.0,Norte
89,11,Sim,Não,Sim,1250.0,Norte
90,11,Sim,Sim,Sim,500.0,Norte
91,11,Sim,Sim,Sim,550.0,Norte
92,11,Sim,Não,Sim,409.0,Norte
93,11,Sim,Não,Sim,215.0,Norte
94,11,Sim,Sim,Sim,512.0,Norte
95,11,Sim,Sim,Sim,833.0,Norte
96,11,Sim,Não,Sim,656.0,Norte
97,11,Sim,Sim,Sim,490.0,Norte
98,11,Sim,Não,Sim,232.0,Norte
100,11,Sim,Não,Sim,0.0,Norte
103,11,Sim,Não,Sim,530.0,Norte
106,11,Sim,Sim,Sim,505.0,Norte
108,11,Sim,Sim,Sim,788.0,Norte
109,11,Sim,Sim,Sim,262.0,Norte
110,11,Sim,Sim,Sim,494.0,Norte
111,11,Sim,Sim,Sim,250.0,Norte
112,11,Sim,Não,Sim,280.0,Norte
113,11,Sim,Não,Sim,1250.0,Norte
114,11,Sim,Não,Sim,2125.0,Norte
115,11,Sim,Sim,Sim,1129.0,Norte
116,11,Não,Não,Sim,788.0,Norte
117,11,Sim,Não,Sim,800.0,Norte
118,11,Sim,Sim,Sim,342.0,Norte
119,11,Sim,Não,Não,288.0,Norte
120,11,Sim,Não,Sim,197.0,Norte
121,11,Sim,Não,Sim,647.0,Norte
122,11,Sim,Não,Não,1000.0,Norte
125,11,Sim,Sim,Sim,694.0,Norte
127,11,Não,Não,Não,600.0,Norte
128,11,Não,Não,Sim,244.0,Norte
129,11,Sim,Não,Sim,161.0,Norte
